time T_d 
0.0 0.0 
0.06796341596457352 0.06363868749999924 
0.135926901593916 0.12322618749999847 
0.20389038722325845 0.17902181250000027 
0.271853803187832 0.2312679375000002 
0.3398172191524055 0.28018949999999876 
0.40778070478174794 0.325996374999999 
0.4757441207463215 0.36888887499999967 
0.543707536710895 0.4090518749999994 
0.6116710223402374 0.4466590625000002 
0.679634438304811 0.4818725625000013 
0.7475978542693845 0.5148448750000014 
0.815561339898727 0.5457191250000015 
0.8835247558633005 0.5746288124999985 
0.951488171827874 0.6016979374999991 
1.0194516574572163 0.6270446874999998 
1.08741507342179 0.6507797500000017 
1.1553785590511325 0.6730041249999985 
1.2233420446804748 0.6938133125000014 
1.2913054606450485 0.7132988124999997 
1.359268876609622 0.7315444999999983 
1.4272322925741954 0.7486286249999985 
1.495195708538769 0.7646255625000009 
1.5631591245033425 0.7796039374999992 
1.631122679797454 0.7936286875 
1.6990860957620275 0.8067608124999985 
1.767049511726601 0.8190574374999997 
1.8350129276911746 0.8305721249999998 
1.902976343655748 0.8413543750000017 
1.9709397596203218 0.8514499375 
2.0389033149144327 0.8609028125000009 
2.1068667308790068 0.8697548124999983 
2.17483014684358 0.8780441249999988 
2.2427937021376914 0.885805125000001 
2.310757118102265 0.8930721249999998 
2.3787205340668383 0.8998775624999986 
2.4466840893609496 0.9062480625000013 
2.5146473659959856 0.9122142500000017 
2.582610921290097 0.9178008750000011 
2.6505741979251325 0.9230308749999985 
2.718537753219244 0.927928937499999 
2.7865013085133556 0.9325161249999994 
2.8544645851483907 0.9368114375000012 
2.9224281404425025 0.940832125 
2.990391417077538 0.944597250000001 
3.058354972371649 0.9481220000000015 
3.126318249006685 0.9514236250000003 
3.1942818043007963 0.9545154374999996 
3.262245359594908 0.9574088749999987 
3.3302086362299432 0.9601192500000018 
3.398172191524055 0.9626579375000013 
3.4661354681590906 0.9650345000000016 
3.534099023453202 0.9672603749999986 
3.6020625787473133 0.9693431875000016 
3.6700258553823493 0.9712943749999994 
3.7379894106764606 0.973121625000001 
3.805952687311496 0.9748325625000014 
3.8739162426056075 0.9764346874999994 
3.9418795192406435 0.9779338750000015 
4.009843074534754 0.9793376874999993 
4.077806629828865 0.9806518749999995 
4.145769906463902 0.9818821249999985 
4.2137334617580136 0.9830341249999996 
4.281696738393048 0.984113687499999 
4.34966029368716 0.9851245625000011 
4.4176235703221955 0.986070625 
4.485587404275383 0.9869575624999989 
4.553550959569494 0.9877872500000002 
4.62151423620453 0.9885635625000013 
4.689477791498642 0.9892902499999998 
4.7574410681336765 0.9899711875000001 
4.825404344768713 0.9906101249999999 
4.893368178721899 0.991207124999999 
4.961331455356936 0.9917659999999984 
5.029294731991971 0.9922904999999993 
5.097258565945158 0.9927806875000016 
5.165221842580194 0.9932403749999992 
5.233185119215229 0.9936694999999993 
5.301148395850265 0.9940719374999993 
5.369112229803452 0.9944496250000014 
5.437075506438488 0.9948024999999987 
5.505038783073524 0.9951324375000006 
5.573002617026711 0.9954414374999985 
5.640965893661746 0.9957313749999983 
5.7089291702967815 0.9960021875000002 
5.776892446931818 0.9962558749999992 
5.844856280885005 0.9964943125000012 
5.912819557520041 0.9967174374999992 
5.980782834155076 0.996925375 
